cab_type,vendor_id,pickup_datetime,dropoff_datetime,rate_code_id,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,congestion_surcharge,total_amount,payment_type,trip_type,pickup_location_id,dropoff_location_id
yellow,VTS,2018-01-01T00:01:13.000000Z,2018-01-01T00:05:43.000000Z,Standard rate,,,,,5,0.66,5.0,0.5,0.5,0.0,0.0,0.0,0.3,0.0,6.3,Cash,na,238,166
yellow,VTS,2018-01-01T00:01:13.000000Z,2018-01-01T00:16:39.000000Z,Standard rate,,,,,3,6.66,21.0,0.5,0.5,0.0,0.0,0.0,0.3,0.0,22.3,Cash,na,42,182
yellow,VTS,2018-01-01T00:01:14.000000Z,2018-01-01T00:03:39.000000Z,Standard rate,,,,,1,0.6,4.0,0.5,0.5,1.06,0.0,0.0,0.3,0.0,6.36,Card,na,48,48
yellow,CMT,2018-01-01T00:01:16.000000Z,2018-01-01T00:15:43.000000Z,Standard rate,,,,,2,3.800000000000,14.5,0.5,0.5,0.0,0.0,0.0,0.3,0.0,15.8,Cash,na,100,232
yellow,VTS,2018-01-01T00:01:16.000000Z,2018-01-01T00:30:04.000000Z,Standard rate,,,,,3,8.41,27.0,0.5,0.5,0.0,0.0,0.0,0.3,0.0,28.3,Cash,na,113,129
yellow,CMT,2018-01-01T00:01:18.000000Z,2018-01-01T00:05:10.000000Z,Standard rate,,,,,2,0.700000000000,5.0,0.5,0.5,0.0,0.0,0.0,0.3,0.0,6.3,Cash,na,246,50
yellow,CMT,2018-01-01T00:01:18.000000Z,2018-01-01T00:10:26.000000Z,Standard rate,,,,,1,1.8,8.5,0.5,0.5,0.0,0.0,0.0,0.3,0.0,9.8,Cash,na,264,264
yellow,VTS,2018-01-01T00:01:18.000000Z,2018-01-01T00:17:16.000000Z,Standard rate,,,,,1,4.04,14.5,0.5,0.5,0.0,0.0,0.0,0.3,0.0,15.8,Cash,na,142,116
yellow,CMT,2018-01-01T00:01:19.000000Z,2018-01-01T00:05:56.000000Z,Standard rate,,,,,2,0.9,5.5,0.5,0.5,0.0,0.0,0.0,0.3,0.0,6.8,Cash,na,142,239
yellow,VTS,2018-01-01T00:01:19.000000Z,2018-01-01T00:16:23.000000Z,Standard rate,,,,,6,2.0,11.0,0.5,0.5,2.46,0.0,0.0,0.3,0.0,14.76,Card,na,148,158
